Name,Affiliation,Born,Fighting out of
Humberto Brown Morrison,Alleycat Panama,"Panama City, Panama","Panama City, Panama"
Travis Browne,Hayastan MMA,"Honolulu, Hawaii, United States","Albuquerque, New Mexico"
Junie Browning,Legends MMA,"Los Angeles, USA","Los Angeles, USA"
Jules Bruchez,,United States,"Lafayette, Louisiana"
Steve Bruno,American Top Team,United States,"Coral Springs, Florida"
Fernando Bruno,Nova União,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Derek Brunson,Brunsons MMA and Fitness,"Wilmington, North Carolina, United States","Albuquerque, New Mexico"
Josh Bryant,Absolute Combat Alliance,"Broken Arrow, California, United States","Tulsa, Oklahoma"
Justin Buchholz,Team Alpha Male,United States,"Sacramento, California"
Joaquin Buckley,Finney's HIT Squad,"St. Louis, Missouri","St. Louis, Missouri"
Mayra Bueno Silva,Chute Boxe Diego Lima,"Uberlandia, Minas Gerais, Brazil","Sao Paulo, Sao Paulo, Brazil"
Paul Buentello,Bastos BJJ Midland,"Amarillo, Texas, United States","Denver, Colorado"
Modestas Bukauskas,Gintas Combat,"Klaipeda, Lithuania","Denham, Buckinghamshire, England"
Wuliji Buren,,China,China
Shane Burgos,Tiger Schulmann's Mixed Martial Arts,"Bronx, New York","Monroe, New York"
Joshua Burkman,The Pit Elevated Fight Team,"Utah, USA","Utah, USA"
Mads Burnell,Arte Suave,Denmark,Denmark
Kevin Burns,Des Moines Jiu Jitsu Academy,United States,"Des Moines, Iowa, United States"
Gilbert Burns,Sanford MMA,"Niteroi, Rio de Janeiro, Brazil","Boca Raton, Florida"
Herbert Burns,,Brazil,Singapore
Nah-Shon Burrell,,United States,"Philadelphia, Pennsylvania"
Bubba Bush,Brazos Valley MMA,"Mississippi, United States","College Station, Texas"
Charles Byrd,Fortis MMA,"Oceanside, California","Arlington, Texas"
Yan Cabral,Nova União,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Alex Caceres,MMA Lab,"Miami, Florida, United States","Miami, Florida"
Vince Cachero,A4 Fitness,"Kaneohe, Hawaii","Los Angeles, California"
Priscila Cachoeira,Paraná Vale Tudo,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Joanne Calderwood,Syndicate MMA,"Irvine, Scotland","Las Vegas, NV"
Cynthia Calvillo,,"San Jose, California","San Jose, California"
Frank Camacho,Trench Tech,"Saipan, Northern Mariana Islands",Guam
Fabricio Camoes,Kings MMA,"Rio de Janeiro, Rio de Janeiro, Brazil","San Diego, California"
Chris Camozzi,factoryX Muay Thai,"Alameda, California, United States","Lakewood, Colorado"
Brian Camozzi,factoryX Muay Thai,United States,"Parker, Colorado"
Shane Campbell,Shaolin Muay Thai,Canada,Canada
Wagner Campos,Gile Ribeiro Team,"Curitiba, Brazil","Curitiba, Brazil"
Will Campuzano,Campuzano MMA,"Acapulco, Mexico","Dallas, Texas"
Aleksa Camur,Strong Style Fight Team,United States,"Broadview Heights, Ohio"
Chico Camus,Roufusport MMA Academy,"Milwaukee, Wisconsin","Milwaukee, Wisconsin"
Luiz Cane,,Brazil,Brazil
Guido Cannetti,Our Town MMA,"Buenos Aires, Argentina","Buenos Aires, Argentina"
Jared Cannonier,MMA Lab,United States,Alaska
Steve Cantwell,One Kick's Gym,"Long Beach, California, United States","Las Vegas, Nevada"
Bryan Caraway,,"Yakima, Washington, United States","Goldendale, Washington"
Chris Cariaso,Fight and Fitness,"San Jose, California, United States","San Francisco, California"
Antonio Carlos Junior,American Top Team,"Joao Pessoa, Paraiba, Brazil","Salvador, Bahia, Brazil"
Spike Carlyle,The Treigning Lab,"San Diego, California","San Diego, California"
Francis Carmont,Tristar Gym,"Paris, France","Montreal, Quebec"
Liz Carmouche,Team Hurricane Awesome,United States,"San Diego, California"
Roan Carneiro,American Top Team,"Rio de Janeiro, Rio de Janeiro, Brazil","Atlanta, Georgia"
Ariane Carnelossi,Inside Muay Thai,"Presidente Prudente, Sao Paulo, Brazil","Presidente Prudente, Sao Paulo, Brazil"
Luana Carolina,Capital da Luta,Brazil,"Sao Paulo, Sao Paulo, Brazil"
Cain Carrizosa,Classic Fight Team,United States,"Woodlake, California"
Antonio Carvalho,Bruckmann Martial Arts,"Sault Ste. Marie, Ontario, Canada","Oshawa, Ontario"
Shane Carwin,,"Greeley, Colorado, United States","Denver, Colorado"
Johnny Case,MMA Lab,"Jefferson, Iowa, United States","Glendale, Arizona"
Kevin Casey,Rickson Gracie Jiu-Jitsu,"Hawthorne, California","Hawthorne, California"
Cortney Casey,,"Mesa, Arizona, United States","Glendale, Arizona"
John Castaneda,Mankato Martial Arts,United States,"Mankato, Minnesota"
Danny Castillo,Team Alpha Male,"San Francisco, California, United States","Sacramento, California"
Nick Catone,Ricardo Almeida Jiu Jitsu,"Englewood, New Jersey, United States","Brick, New Jersey"
Luke Caudillo,Team Wiseman,"North Platte, Nebraska","Denver, Colorado"
Rafael Cavalcante,Team Nogueira,Brazil,Brazil
Magnus Cedenblad,Pancrase Gym Sweden,Sweden,"Stockholm, Sweden"
Yosdenis Cedeno,Blackzilians,"Havana, Cuba","Miami, Florida, United States"
Henry Cejudo,Fight Ready MMA,"Los Angeles, California, United States","Phoenix, Arizona"
Adam Cella,Finney's HIT Squad,United States,"Fenton, Missouri"
Donald Cerrone,BMF Ranch,"Denver, Colorado, United States","Albuquerque, New Mexico"
Luan Chagas,Gile Ribeiro Team,"Navirai, Mato Grosso do Sul, Brazil","Curitiba, Parana, Brazil"
Alex Chambers,VT-1 Gym,Australia,Australia
Ernest Chavez,Total MMA Studios,United States,California
Danny Chavez,MMA Masters,United States,"Miami, Florida"
Albert Cheng,Evolução Thai MMA,"Toronto, Ontario, Canada","Mississauga, Ontario"
Macy Chiasson,Fortis MMA,"New Orleans, Louisiana, United States","Dallas, Texas"
Michael Chiesa,Sikjitsu,United States,"Spokane Valley, Washington"
Giga Chikadze,Kings MMA,"Tbilisi, Georgia","Huntington Beach, California"
Khamzat Chimaev,Allstars Training Center,"Chechnya, Russia",Sweden
Sako Chivitchian,Hayastan MMA,Armenian SSR,"Glendale, California"
Dooho Choi,Busan Team MAD,South Korea,South Korea
SeungWoo Choi,MOB Training Center,South Korea,South Korea
John Cholish,Renzo Gracie Academy,"Hoboken, New Jersey, United States","New York, New York"
Ryo Chonan,TRIBE TOKYO MMA,"Tsuruoka, Yamagata, Japan","Iruma, Saitama, Japan"
Katlyn Chookagian,Allstar Brazilian Jiu-Jitsu,"Quakertown, Pennsylvania","Jersey City, New Jersey"
Will Chope,,"Martinez, California, United States","Maha Sarakham, Thailand"
Joachim Christensen,Arte Suave,"Copenhagen, Denmark","Copenhagen, Denmark"
