Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC 37,2002-05-10 00:00:00,CenturyTel Center,"Bossier City, Louisiana","7,200",,"50,000",,1,Ultimate Fighting Championship
UFC 36,2002-03-22 00:00:00,MGM Grand Arena,"Las Vegas, Nevada","10,000","$898,850","55,000",,1,Ultimate Fighting Championship
UFC 35,2002-01-11 00:00:00,Mohegan Sun Arena,"Uncasville, Connecticut","9,600",,"35,000",,1,Ultimate Fighting Championship
UFC 34,2001-11-02 00:00:00,MGM Grand Garden Arena,"Las Vegas, Nevada","9,000","$502,550","65,000",,1,Ultimate Fighting Championship
UFC 33,2001-09-28 00:00:00,Mandalay Bay Events Center,"Las Vegas, Nevada","9,500","$816,660","75,000",,1,Ultimate Fighting Championship
UFC 32,2001-06-29 00:00:00,Continental Airlines Arena,"East Rutherford, New Jersey","12,500",,,,1,Ultimate Fighting Championship
UFC 31,2001-05-04 00:00:00,Mark G. Etess Arena at Trump Taj Mahal,"Atlantic City, New Jersey",,,,,1,Ultimate Fighting Championship
UFC 30,2001-02-23 00:00:00,Mark G. Etess Arena at Trump Taj Mahal,"Atlantic City, New Jersey",,,,,1,Ultimate Fighting Championship
UFC 29,2000-12-16 00:00:00,Differ Ariake Arena,"Tokyo, Japan","1,414",,,,1,Ultimate Fighting Championship
UFC 28,2000-11-17 00:00:00,Mark G. Etess Arena at Trump Taj Mahal,"Atlantic City, New Jersey",,,,,1,Ultimate Fighting Championship
UFC 27,2000-09-22 00:00:00,Lakefront Arena,"New Orleans, Louisiana",,,,,1,Ultimate Fighting Championship
UFC 26,2000-06-09 00:00:00,Five Seasons Events Center,"Cedar Rapids, Iowa",,,,,1,Ultimate Fighting Championship
UFC 25,2000-04-14 00:00:00,Yoyogi National Gymnasium,"Tokyo, Japan",,,,,1,Ultimate Fighting Championship
UFC 24,2000-03-10 00:00:00,Lake Charles Civic Center,"Lake Charles, Louisiana",,,,,1,Ultimate Fighting Championship
UFC 23,1999-11-19 00:00:00,Tokyo Bay NK Hall,"Tokyo, Japan",,,,,1,Ultimate Fighting Championship
UFC 22,1999-09-24 00:00:00,Lake Charles Civic Center,"Lake Charles, Louisiana",,,,,1,Ultimate Fighting Championship
UFC 21,1999-07-16 00:00:00,Five Seasons Events Center,"Cedar Rapids, Iowa",,,,,1,Ultimate Fighting Championship
UFC 20,1999-05-07 00:00:00,Boutwell Auditorium,"Birmingham, Alabama",,,,,1,Ultimate Fighting Championship
UFC 19,1999-03-05 00:00:00,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,,,1,Ultimate Fighting Championship
UFC 18,1999-01-08 00:00:00,Pontchartrain Center,"New Orleans, Louisiana",,,,,1,Ultimate Fighting Championship
UFC Brazil,1998-10-16 00:00:00,Ginásio da Portuguesa,"Sao Paulo, Brazil",,,,,1,Ultimate Fighting Championship
UFC 17,1998-05-15 00:00:00,Mobile Civic Center,"Mobile, Alabama",,,,,1,Ultimate Fighting Championship
UFC 16,1998-03-13 00:00:00,Pontchartrain Center,"Kenner, Louisiana","4,600",,,,1,Ultimate Fighting Championship
UFC Japan: Ultimate Japan,1997-12-21 00:00:00,Yokohama Arena,"Yokohama, Japan","5,000",,,,1,Ultimate Fighting Championship
UFC 15,1997-10-17 00:00:00,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,,,1,Ultimate Fighting Championship
UFC 14,1997-07-27 00:00:00,Boutwell Auditorium,"Birmingham, Alabama","5,000",,,,1,Ultimate Fighting Championship
UFC 13,1997-05-30 00:00:00,Augusta Civic Center,"Augusta, Georgia","5,100",,,,1,Ultimate Fighting Championship
UFC 12,1997-02-07 00:00:00,Dothan Civic Center,"Dothan, Alabama","3,100",,"122,000",,1,Ultimate Fighting Championship
UFC 11,1996-09-20 00:00:00,Augusta Civic Center,"Augusta, Georgia","4,500",,"92,000",,1,Ultimate Fighting Championship
UFC 10,1996-07-12 00:00:00,Fairgrounds Arena,"Birmingham, Alabama","4,300",,"96,000",,1,Ultimate Fighting Championship
UFC 9,1996-05-17 00:00:00,Cobo Arena,"Detroit, Michigan","10,000",,"141,000",,1,Ultimate Fighting Championship
UFC 8,1996-02-16 00:00:00,Ruben Rodriguez Coliseum,"Bayamón, Puerto Rico","13,000",,"300,000",,1,Ultimate Fighting Championship
UFC 7,1995-09-08 00:00:00,Memorial Auditorium,"Buffalo, New York","9,000",,"190,000",,1,Ultimate Fighting Championship
UFC 6,1995-07-14 00:00:00,Casper Events Center,"Casper, Wyoming","2,700",,"240,000",,1,Ultimate Fighting Championship
UFC 5,1995-04-07 00:00:00,Independence Arena,"Charlotte, North Carolina","6,000",,"260,000",,1,Ultimate Fighting Championship
UFC 4,1994-12-16 00:00:00,Expo Square Pavilion,"Tulsa, Oklahoma","5,857",,"120,000",,1,Ultimate Fighting Championship
UFC 3,1994-09-09 00:00:00,Grady Cole Center,"Charlotte, North Carolina","3,000",,"90,000",,1,Ultimate Fighting Championship
UFC 2,1994-03-11 00:00:00,Mammoth Gardens,"Denver, Colorado","2,000",,,,1,Ultimate Fighting Championship
UFC 1,1993-11-12 00:00:00,McNichols Sports Arena,"Denver, Colorado, US","7,800",,"86,000",,1,Ultimate Fighting Championship
